rank,headword,cefr,freqRank,tier
0,"particular",B2,2019,core
1,"fixed",B2,2041,core
2,"data",B2,2045,core
3,"jury",B2,2049,core
4,"saving",B2,2062,core
5,"odd",B2,2081,core
6,"sexy",B2,2082,core
7,"sexual",B2,2101,core
8,"crack",B2,2145,core
9,"freak",B2,2177,core
10,"prime",B2,2191,core
11,"media",B2,2210,core
12,"hook",B2,2231,core
13,"suffering",B2,2247,core
14,"literally",B2,2254,core
15,"remains",B2,2294,core
16,"theme",B2,2309,core
17,"cast",B2,2318,core
18,"hunting",B2,2320,core
19,"punch",B2,2325,core
20,"convinced",B2,2335,core
21,"wolf",B2,2361,core
22,"campaign",B2,2464,core
23,"route",B2,2475,core
24,"friendly",B2,2504,core
25,"charming",B2,2509,core
26,"learning",B2,2513,core
27,"understanding",B2,2538,core
28,"gunshot",B2,2563,core
29,"conference",B2,2580,core
30,"previously",B2,2592,core
31,"tail",B2,2607,core
32,"rape",B2,2612,core
33,"nightmare",B2,2621,core
34,"actual",B2,2637,core
35,"flesh",B2,2642,core
36,"senator",B2,2651,core
37,"alert",B2,2677,core
38,"pa",B2,2703,core
39,"abandoned",B2,2710,core
40,"revolution",B2,2727,core
41,"swing",B2,2755,core
42,"billion",B2,2777,core
43,"mask",B2,2785,core
44,"species",B2,2791,core
45,"loan",B2,2794,core
46,"navy",B2,2812,core
47,"guts",B2,2817,core
48,"impressed",B2,2838,core
49,"sensitive",B2,2846,core
50,"considering",B2,2915,core
51,"reaction",B2,2934,core
52,"version",B2,2937,core
53,"gear",B2,2939,core
54,"tunnel",B2,2971,core
55,"pee",B2,2998,core
56,"fox",B2,3013,core
57,"therapy",B2,3032,core
58,"lifetime",B2,3033,core
59,"cheat",B2,3044,core
60,"servant",B2,3049,core
61,"practically",B2,3053,core
62,"wipe",B2,3056,core
63,"deck",B2,3068,core
64,"removed",C1,3096,core
65,"division",B2,3106,core
66,"motion",B2,3116,core
67,"underground",B2,3168,core
68,"identify",B2,3177,core
69,"chip",B2,3178,core
70,"tribe",B2,3190,core
71,"deputy",B2,3192,core
72,"headquarters",B2,3194,core
73,"related",B2,3199,core
74,"nerve",B2,3209,core
75,"stake",B2,3211,core
76,"landing",B2,3220,core
77,"costume",B2,3232,core
78,"injured",B2,3234,core
79,"environment",B2,3263,core
80,"western",B2,3264,core
81,"ease",B2,3266,core
82,"starving",B2,3272,core
83,"timing",B2,3283,core
84,"skip",B2,3289,core
85,"woo",C1,3293,core
86,"determined",B2,3300,core
87,"hail",B2,3302,core
88,"booth",B2,3304,core
89,"packed",B2,3308,core
90,"trunk",B2,3313,core
91,"backup",B2,3326,core
92,"territory",B2,3338,core
93,"lousy",B2,3403,core
94,"tattoo",B2,3417,core
95,"precisely",B2,3432,core
96,"underwear",B2,3437,core
97,"worrying",B2,3453,core
98,"relief",B2,3462,core
99,"pitch",B2,3507,core
100,"helicopter",B2,3515,core
101,"spin",B2,3517,core
102,"offense",B2,3539,core
103,"snap",B2,3542,core
104,"hood",B2,3544,core
105,"technically",B2,3552,core
106,"profile",B2,3559,core
107,"shed",B2,3563,core
108,"rocket",B2,3571,core
109,"gambling",B2,3584,core
110,"procedure",B2,3587,core
111,"chop",B2,3614,core
112,"creepy",B2,3647,core
113,"walker",B2,3669,core
114,"bum",B2,3719,core
115,"blade",B2,3734,core
116,"trauma",C1,3755,core
117,"core",B2,3776,core
118,"serial",B2,3777,core
119,"goat",B2,3783,core
120,"whiskey",B2,3788,core
121,"resistance",B2,3790,core
122,"attached",B2,3792,core
123,"nicely",B2,3834,core
124,"nerves",B2,3835,core
125,"salary",B2,3852,core
126,"profit",B2,3870,core
127,"stroke",B2,3927,core
128,"multiple",B2,3977,core
129,"cable",B2,3978,core
130,"ultimate",B2,3997,core
131,"payment",B2,4000,core
132,"paperwork",B2,4002,core
133,"madness",B2,4011,core
134,"lap",B2,4037,core
135,"rub",B2,4050,core
136,"sail",B2,4054,core
137,"badge",B2,4059,core
138,"polish",B2,4077,core
139,"jersey",C1,4084,core
140,"eagle",B2,4085,core
141,"flip",B2,4090,core
142,"clan",C1,4094,core
143,"plot",B2,4103,core
144,"bothered",B2,4110,core
145,"patch",B2,4127,core
146,"necessarily",B2,4129,core
147,"rocky",B2,4139,core
148,"soviet",B2,4143,core
149,"radar",B2,4154,core
150,"valentine",B2,4164,core
151,"sack",B2,4172,core
152,"constant",B2,4186,core
153,"employee",B2,4200,core
154,"solar",B2,4203,core
155,"phase",B2,4216,core
156,"prom",B2,4217,core
157,"whip",B2,4225,core
158,"amongst",B2,4228,core
159,"smash",B2,4238,core
