order,id,target,partOfSpeech,cefr,effectiveBand,freqRank,isPhrase,score
0,minute:noun,"minute","noun",A1,0.00,387,,0.4874
1,ugly:adjective,"ugly","adjective",A1,0.00,1679,,0.6075
2,thin:adjective,"thin","adjective",A1,0.00,2734,,0.6473
3,headache:noun,"headache","noun",A1,0.00,3756,,0.6733
4,blank:adjective,"blank","adjective",A1,0.00,4992,,0.6966
5,cartoon:noun,"cartoon","noun",A1,0.00,8267,,0.7379
6,vase:noun,"vase","noun",A1,0.00,8498,,0.7401
7,pollution:noun,"pollution","noun",A1,0.00,11628,,0.7658
8,paragraph:noun,"paragraph","noun",A1,0.00,12117,,0.7691
9,foggy:adjective,"foggy","adjective",A1,0.00,15427,,0.7889
10,instead:adverb,"instead","adverb",A2,1.00,779,,1.5446
11,frank:adjective,"frank","adjective",A2,1.00,810,,1.5478
12,blame:verb,"blame","verb",A2,1.00,1159,,1.5771
13,grace:noun,"grace","noun",A2,1.00,1366,,1.5906
14,apologize:verb,"apologize","verb",A2,1.00,1419,,1.5937
15,account:noun,"account","noun",A2,1.00,1467,,1.5964
16,fantastic:adjective,"fantastic","adjective",A2,1.00,1530,,1.5999
17,screw:noun,"screw","noun",A2,1.00,1770,,1.6118
18,silence:noun,"silence","noun",A2,1.00,1808,,1.6135
19,thief:noun,"thief","noun",A2,1.00,1946,,1.6195
20,proper:adjective,"proper","adjective",A2,1.00,2020,,1.6226
21,pity:noun,"pity","noun",A2,1.00,2035,,1.6232
22,rob:verb,"rob","verb",A2,1.00,2216,,1.6302
23,illegal:adjective,"illegal","adjective",A2,1.00,2264,,1.6319
24,stairs:noun,"stairs","noun",A2,1.00,2463,,1.6388
25,kingdom:noun,"kingdom","noun",A2,1.00,2519,,1.6406
26,curse:verb,"curse","verb",A2,1.00,2552,,1.6417
27,hug:verb,"hug","verb",A2,1.00,2567,,1.6422
28,seek:verb,"seek","verb",A2,1.00,2583,,1.6427
29,robbery:noun,"robbery","noun",A2,1.00,2653,,1.6449
30,disappointed:adjective,"disappointed","adjective",A2,1.00,2673,,1.6455
31,slave:noun,"slave","noun",A2,1.00,2780,,1.6487
32,script:noun,"script","noun",A2,1.00,3070,,1.6568
33,bug:noun,"bug","noun",A2,1.00,3206,,1.6604
34,adventure:noun,"adventure","noun",A2,1.00,3336,,1.6636
35,bush:noun,"bush","noun",A2,1.00,3598,,1.6698
36,shell:noun,"shell","noun",A2,1.00,3658,,1.6712
